track_id,forecast_time,lead_time,members,center_lat,center_lon,cone_radius_km,radius_q_km,estimated_population_exposed,coastal_exposure_weighted_pop,inform_weighted_pop,risk_score,cells_in_cone
DITWAH,2025-11-27 12:00:00+00:00,6,51,7.366666666666665,81.05294117647058,151.54383265619035,126.54383265619035,509629.2000939477,394112.72171424644,254814.60004697385,72.90030952466162,9
DITWAH,2025-11-27 12:00:00+00:00,12,50,7.4719999999999995,81.044,166.46862883092516,141.46862883092516,530208.2455887854,410450.8144083062,265104.1227943927,73.04399266163665,11
DITWAH,2025-11-27 12:00:00+00:00,24,51,8.062745098039217,81.05686274509803,209.7961675336092,184.7961675336092,1492031.0852925994,1116266.5694651282,746015.5426462997,75.62771375153034,21
DITWAH,2025-11-27 12:00:00+00:00,48,51,9.935294117647059,81.06470588235294,221.94249818679322,196.94249818679322,2187825.8720030226,1568143.2884432303,1093912.9360015113,76.039028546381,22
DITWAH,2025-11-27 12:00:00+00:00,72,50,11.852000000000002,80.536,281.26139115875986,256.26139115875986,4462173.833040502,2934538.480108237,2231086.916520251,76.78852704454553,35
DITWAH,2025-11-27 12:00:00+00:00,96,38,13.439473684210526,80.61315789473686,467.16717148801274,442.16717148801274,6490264.0523725115,4078344.7335658395,3245132.0261862557,77.22764005276822,82
DITWAH,2025-11-27 18:00:00+00:00,6,51,7.592156862745098,81.50980392156863,190.66960823572143,165.66960823572143,830757.1916844486,634478.8843350958,415378.5958422243,74.18743516272215,15
DITWAH,2025-11-27 18:00:00+00:00,12,51,8.056862745098039,81.37058823529412,188.20223809581648,163.20223809581648,928527.4543830336,706587.8384406859,464263.7271915168,74.46615811587274,14
DITWAH,2025-11-27 18:00:00+00:00,24,51,8.807843137254903,80.98039215686275,215.81072201821425,190.81072201821425,1845720.2408243422,1359817.6302465515,922860.1204121711,76.00721263748692,21
DITWAH,2025-11-27 18:00:00+00:00,48,50,10.693999999999999,80.178,239.79620204764475,214.79620204764475,3028226.7728092475,2075434.240934305,1514113.3864046237,76.2699725066241,24
DITWAH,2025-11-27 18:00:00+00:00,72,38,12.139473684210527,80.09473684210526,422.00406621584824,397.00406621584824,5659857.824509376,3702171.2887890963,2829928.912254688,77.44309966248737,66
DITWAH,2025-11-27 18:00:00+00:00,96,22,14.213636363636363,81.17727272727272,418.2109973243353,393.2109973243353,5716087.217083691,3525327.39891799,2858043.6085418453,76.5396816649518,70
DITWAH,2025-11-28 00:00:00+00:00,6,51,8.101960784313725,81.43921568627452,148.36905497087838,123.3690549708784,806733.2903993145,614986.5998237509,403366.64519965724,74.0602706553193,10
DITWAH,2025-11-28 00:00:00+00:00,12,51,8.370588235294116,81.11960784313725,167.15821541523258,142.15821541523258,1079958.8847535066,813264.3590191365,539979.4423767533,74.7401382473474,12
DITWAH,2025-11-28 00:00:00+00:00,24,51,9.260784313725491,80.74901960784314,175.5901098446157,150.5901098446157,1541969.2937943356,1127257.3221525645,770984.6468971678,75.3030470121133,13
DITWAH,2025-11-28 00:00:00+00:00,48,47,11.0531914893617,80.15531914893616,207.97609640871477,182.97609640871477,2712705.704596739,1835886.50116798,1356352.8522983694,75.7113844431047,20
DITWAH,2025-11-28 00:00:00+00:00,72,38,12.839473684210526,80.13421052631578,322.3039235630503,297.3039235630503,4307809.933177207,2772021.0458541284,2153904.9665886033,76.32449670621935,42
DITWAH,2025-11-28 00:00:00+00:00,96,21,13.347619047619048,81.00000000000001,387.1198318146823,362.1198318146823,5604113.448351738,3502359.2645690413,2802056.724175869,76.68346714682387,62
DITWAH,2025-11-28 06:00:00+00:00,6,51,8.52941176470588,80.94705882352942,176.00390129719463,151.00390129719463,1430725.4217426728,1068059.2854499863,715362.7108713364,75.45568785650433,15
DITWAH,2025-11-28 06:00:00+00:00,12,51,8.772549019607846,80.97843137254901,181.24597732013905,156.24597732013905,1439468.0793859009,1074553.8311278126,719734.0396929504,75.47416996653801,16
DITWAH,2025-11-28 06:00:00+00:00,24,51,9.741176470588236,80.73529411764706,171.41772164326616,146.41772164326616,1649686.8000947107,1183942.2970866745,824843.4000473553,75.17972728016686,14
DITWAH,2025-11-28 06:00:00+00:00,48,48,11.652083333333332,80.10416666666667,249.35049255121345,224.35049255121345,4032628.172298406,2665842.375803414,2016314.086149203,76.55773430168729,27
DITWAH,2025-11-28 06:00:00+00:00,72,29,13.927586206896551,80.61379310344829,351.55925579828255,326.55925579828255,5010045.327438857,3101238.6456279857,2505022.6637194287,76.18433935835644,50
DITWAH,2025-11-28 06:00:00+00:00,96,14,14.657142857142858,81.78571428571429,574.8634755089581,549.8634755089581,7127782.281877629,4368119.709753357,3563891.1409388147,77.13172452261077,109
DITWAH,2025-11-28 12:00:00+00:00,6,51,8.823529411764705,80.89411764705883,150.53752864077535,125.53752864077536,1204050.3304729557,892330.694004826,602025.1652364779,74.78144467541044,10
DITWAH,2025-11-28 12:00:00+00:00,12,51,9.286274509803922,80.84117647058825,135.8059483338517,110.80594833385167,1029605.1959566829,758180.9335060377,514802.59797834145,74.17415302464272,8
DITWAH,2025-11-28 12:00:00+00:00,24,51,10.270588235294118,80.61176470588235,146.9081808536896,121.9081808536896,1508455.7435533851,1060563.58719444,754227.8717766926,74.53509321545253,11
DITWAH,2025-11-28 12:00:00+00:00,48,47,12.300000000000002,80.38297872340426,181.18107674979433,156.18107674979433,3081697.83642931,1992518.2365387888,1540848.918214655,75.35472589645308,15
DITWAH,2025-11-28 12:00:00+00:00,72,39,13.812820512820512,80.52051282051282,364.93730669076604,339.93730669076604,4987829.114372336,3095145.1964289127,2493914.557186168,76.20883708093491,53
DITWAH,2025-11-28 12:00:00+00:00,96,25,13.847999999999999,81.056,459.12615344410887,434.12615344410887,6152652.669058061,3831908.9688506336,3076326.3345290306,76.92138124828892,82
DITWAH,2025-11-28 18:00:00+00:00,6,51,9.141176470588237,80.94705882352942,163.4710767699715,138.4710767699715,1382790.5380448834,1015105.5811442793,691395.2690224417,75.03877923451425,11
DITWAH,2025-11-28 18:00:00+00:00,12,50,9.524,80.67,159.86233346794518,134.86233346794518,1405969.851474451,1023314.8912366529,702984.9257372255,74.93413534500722,12
DITWAH,2025-11-28 18:00:00+00:00,24,50,10.5,80.524,168.95838684736614,143.95838684736614,1525933.4005523215,1066281.40297943,762966.7002761607,74.46344781140559,12
DITWAH,2025-11-28 18:00:00+00:00,48,46,12.35217391304348,80.29347826086958,257.49441615698686,232.4944161569869,3841123.651459025,2490544.504523954,1920561.8257295126,76.08872594583636,27
DITWAH,2025-11-28 18:00:00+00:00,72,29,13.824137931034482,81.13793103448275,312.1898030545588,287.1898030545588,4931917.036128889,3054280.541494952,2465958.5180644444,76.14233815053935,45
DITWAH,2025-11-28 18:00:00+00:00,96,20,14.084999999999997,81.475,468.5579621211254,443.5579621211254,6199056.112668679,3806644.0575590394,3099528.0563343395,76.72642009178333,84
DITWAH,2025-11-29 00:00:00+00:00,6,51,9.376470588235295,80.82941176470588,112.50164221506145,87.50164221506145,851843.409000888,622320.1391898231,425921.704500444,73.43629664036104,6
DITWAH,2025-11-29 00:00:00+00:00,12,51,9.911764705882353,80.75686274509803,130.25428183416489,105.2542818341649,1133061.971169037,815589.1221053172,566530.9855845185,74.05910499075999,8
DITWAH,2025-11-29 00:00:00+00:00,24,51,11.080392156862745,80.53529411764707,138.15879960590655,113.15879960590654,1624844.176428711,1095754.979804183,812422.0882143555,74.04977025676656,9
DITWAH,2025-11-29 00:00:00+00:00,48,47,13.47872340425532,80.42765957446808,233.23338407549798,208.23338407549798,3082625.8942535147,1944284.3662702383,1541312.9471267574,74.95962528196749,23
DITWAH,2025-11-29 00:00:00+00:00,72,40,13.675,81.475,310.71393181834463,285.71393181834463,4759447.871354176,2969635.238545809,2379723.935677088,76.14751568359367,44
DITWAH,2025-11-29 00:00:00+00:00,96,25,13.576,81.60799999999999,360.2173374334259,335.2173374334259,5475752.288302082,3408570.3858257476,2737876.144151041,76.54911132166083,60
DITWAH,2025-11-29 06:00:00+00:00,6,51,9.937254901960783,80.63529411764705,127.93301539782277,102.93301539782277,1122365.7898285468,808828.4071506427,561182.8949142734,74.0503692148721,8
DITWAH,2025-11-29 06:00:00+00:00,12,51,10.339215686274509,80.66862745098038,135.7895829909049,110.7895829909049,1379004.605982142,965126.4969823281,689502.302991071,74.1745249280388,9
DITWAH,2025-11-29 06:00:00+00:00,24,50,11.400000000000002,80.77600000000001,140.14560989585692,115.14560989585691,1694123.7112997188,1140082.310126145,847061.8556498594,74.14493599848556,9
DITWAH,2025-11-29 06:00:00+00:00,48,45,13.737777777777774,80.65111111111109,204.01967337442943,179.01967337442943,2888184.3270058795,1816822.3850943155,1444092.1635029397,74.7142710690832,19
DITWAH,2025-11-29 06:00:00+00:00,72,36,13.491666666666667,81.23888888888888,256.8821208602178,231.88212086021784,3909092.97242018,2458258.1622554455,1954546.48621009,75.65521075790085,31
DITWAH,2025-11-29 06:00:00+00:00,96,17,13.217647058823529,81.58823529411765,354.5929553143115,329.5929553143115,5268253.106813025,3319893.558441034,2634126.5534065124,76.62052279984599,55
DITWAH,2025-11-29 12:00:00+00:00,6,51,10.3078431372549,80.84901960784315,92.88108349012826,67.88108349012826,738928.3856162437,526221.7481451181,369464.19280812185,72.53153619286226,4
DITWAH,2025-11-29 12:00:00+00:00,12,51,11.02156862745098,80.70784313725491,103.44616423615393,78.44616423615393,817453.0217217314,561562.5662177755,408726.5108608657,72.21774764394183,4
DITWAH,2025-11-29 12:00:00+00:00,24,51,11.966666666666669,80.40392156862744,134.42711325931953,109.42711325931953,2312220.216820309,1510168.568832546,1156110.1084101545,74.62099464275619,9
DITWAH,2025-11-29 12:00:00+00:00,48,49,13.72448979591837,80.61428571428573,235.76279839602086,210.76279839602086,3240378.8735536705,2037688.063097489,1620189.4367768352,75.06856687692002,27
DITWAH,2025-11-29 12:00:00+00:00,72,35,13.125714285714286,81.08857142857143,309.74960996218334,284.74960996218334,4816801.003032409,3055493.550336491,2408400.5015162043,76.4448357119731,43
DITWAH,2025-11-29 12:00:00+00:00,96,17,12.200000000000003,80.37647058823529,324.5893421320616,299.5893421320616,4765351.4033906115,3113647.676817483,2382675.7016953058,76.88758364476232,44
DITWAH,2025-11-29 18:00:00+00:00,6,51,10.956862745098041,80.90980392156862,102.63046446624833,77.63046446624833,866751.9936727309,595015.440041668,433375.99683636543,72.38880884828475,5
DITWAH,2025-11-29 18:00:00+00:00,12,51,11.466666666666665,80.46666666666667,105.94711273643945,80.94711273643945,1163601.3782787141,775306.8832848772,581800.6891393571,72.80445729155498,4
